Type,Title,Date Added,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Rating,_merge,Original Network,Netflix Exclusive Regions,Original
Movie,Norm of the North: King Sized Adventure,2019,-,-,-,-,-,-,"Adventure,Animation,Comedy",3.2,both,-,-,False
Movie,Jandino: Whatever it Takes,2016,-,-,-,-,-,-,Comedy,5.4,both,-,-,False
TV Show,Transformers Prime,2018,-,-,-,-,-,-,"Action,Adventure,Animation",7.8,both,-,-,False
TV Show,Transformers: Robots in Disguise,2018,-,-,-,-,-,-,"Action,Adventure,Animation",6.0,both,-,-,False
Movie,#realityhigh,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
TV Show,Apaches,2017,18+,6.9,1.0,0.0,0.0,0.0,Drama,-,both,-,-,False
TV Show,Apaches,2017,18+,6.9,1.0,0.0,0.0,0.0,"Drama,Short,Western",7.2,both,-,-,False
TV Show,Apaches,2017,18+,6.9,1.0,0.0,0.0,0.0,"Drama,Thriller",6.8,both,-,-,False
TV Show,Apaches,2017,18+,6.9,1.0,0.0,0.0,0.0,\N,-,both,-,-,False
Movie,Automata,2017,-,-,-,-,-,-,"Animation,Sci-Fi,Short",7.4,both,-,-,False
Movie,Automata,2017,-,-,-,-,-,-,"Adventure,Fantasy,Mystery",8.0,both,-,-,False
Movie,Automata,2017,-,-,-,-,-,-,"Drama,Mystery,Sci-Fi",7.4,both,-,-,False
Movie,Automata,2017,-,-,-,-,-,-,Horror,7.0,both,-,-,False
Movie,Fabrizio Copano: Solo pienso en mi,2017,-,-,-,-,-,-,Comedy,5.5,both,-,-,False
TV Show,Fire Chasers,2017,-,6.6,1.0,0.0,0.0,0.0,Documentary,6.6,both,Netflix,Worldwide,True
Movie,Good People,2017,-,-,-,-,-,-,"Crime,Horror,Mystery",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Drama,Short",6.0,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Action,Crime,Thriller",5.5,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Drama,Family,Short",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Biography,Documentary",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Crime,Drama,Short",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Crime,Short,Thriller",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Crime,Short",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Drama,Short",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Drama,Short,Thriller",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Short,Thriller",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Drama,Short",7.0,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,Comedy,-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,"Action,Short",-,both,-,-,False
Movie,Good People,2017,-,-,-,-,-,-,Documentary,-,both,-,-,False
Movie,Joaquín Reyes: Una y no más,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Kidnapping Mr. Heineken,2017,-,-,-,-,-,-,"Action,Crime,Drama",6.1,both,-,-,False
Movie,Krish Trish and Baltiboy,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Krish Trish and Baltiboy: Battle of Wits,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Krish Trish and Baltiboy: Best Friends Forever,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Krish Trish and Baltiboy: Comics of India,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Krish Trish and Baltiboy: Part II,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Krish Trish and Baltiboy: The Greatest Trick,2017,-,-,-,-,-,-,-,-,left_only,-,-,False
Movie,Love,2017,18+,7.7,1.0,0.0,0.0,0.0,\N,-,both,Netflix,Worldwide,True
