Title,Date_Added,Age,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
Amateur,2018,-,1,0,0,0,Netflix,Worldwide,True,movie,Thriller,6.6
Amateur,2018,-,1,0,0,0,Netflix,Worldwide,True,movie,Drama,-
Amateur,2018,-,1,0,0,0,Netflix,Worldwide,True,movie,Documentary,8.0
Amateur,2018,-,1,0,0,0,Netflix,Worldwide,True,movie,"Comedy,Crime,Drama",6.9
Amateur,2018,-,1,0,0,0,Netflix,Worldwide,True,movie,"Drama,Sport",5.9
Amateur,2018,-,1,0,0,0,Netflix,Worldwide,True,movie,Documentary,-
Amelia: A Tale of Two Sisters,2017,-,1,0,0,0,-,-,False,-,-,-
Annedroids,-,all,0,0,1,0,-,-,False,tvSeries,"Family,Sci-Fi",6.4
Antique Gun Show,-,-,0,0,1,0,-,-,False,-,-,-
"Aram, Aram",2017,-,-,-,-,-,-,-,False,movie,Drama,6.7
Awake: The Million Dollar Game,2019,-,-,-,-,-,Netflix,Worldwide,True,tvSeries,Game-Show,5.8
Awesome Video Game Memories,-,-,0,0,1,0,-,-,False,tvSeries,Documentary,-
Before I Go to Sleep,-,18+,0,1,0,0,-,-,False,movie,"Drama,Horror,Mystery",6.3
Best Neighbors,2019,-,1,0,0,0,-,-,False,-,-,-
Big Block SingSong,-,all,0,1,0,0,-,-,False,-,-,-
Big Nothing,-,18+,0,0,1,0,-,-,False,movie,"Comedy,Crime,Thriller",6.8
Bilal: A New Breed of Hero,-,13+,0,0,1,0,-,-,False,movie,"Action,Adventure,Animation",8.0
Bobbi Jene,2018,-,1,0,0,0,-,-,False,movie,"Documentary,Drama,Romance",6.3
Bong Appétit,-,16+,0,1,0,0,-,-,False,tvSeries,Reality-TV,8.0
Brooklyn Kinda Love,-,-,0,0,1,0,-,-,False,tvSeries,Reality-TV,5.1
Bulldog Drummond's Secret Police,-,-,0,0,1,0,-,-,False,movie,"Mystery,Thriller",6.3
Car's Life 3: The Royal Heist,-,-,0,0,1,0,-,-,False,-,-,-
Card Sharks 86,-,-,0,0,1,0,-,-,False,-,-,-
Chandni,-,7+,0,0,1,0,-,-,False,movie,"Drama,Musical,Romance",6.8
Chandni,-,7+,0,0,1,0,-,-,False,movie,Romance,-
Chandni,-,7+,0,0,1,0,-,-,False,movie,\N,-
Charlie's Country,-,-,0,0,1,0,-,-,False,movie,Drama,7.2
Cut the Rope - Coloring Books,-,-,0,0,1,0,-,-,False,tvSeries,\N,-
Deep Red,-,18+,0,0,1,0,-,-,False,-,-,-
Diary of a Chambermaid,2016,-,-,-,-,-,-,-,False,-,-,-
Doc West II,-,7+,0,0,1,0,-,-,False,-,-,-
Dreadtime Stories,-,-,0,0,1,0,-,-,False,movie,"Horror,Thriller",4.1
Eat With Me,-,-,0,0,1,0,-,-,False,-,-,-
El Diablo,-,13+,0,0,1,0,-,-,False,-,-,-
Failure to Launch,-,13+,1,0,0,0,-,-,False,movie,"Comedy,Romance",5.6
Flesh and Bone,-,16+,0,0,1,0,-,-,False,movie,"Drama,Mystery,Romance",6.2
Flower,-,18+,0,1,0,0,-,-,False,movie,"Comedy,Drama",6.0
Flower,-,18+,0,1,0,0,-,-,False,movie,Documentary,-
Flower,-,18+,0,1,0,0,-,-,False,movie,"Drama,Romance",-
Flower,-,18+,0,1,0,0,-,-,False,movie,Drama,-
Forensics: You Decide,-,-,0,0,1,0,-,-,False,tvSeries,"Crime,Documentary",7.0
Forever My Girl,-,7+,0,1,1,0,-,-,False,movie,"Drama,Music,Romance",6.7
Forty Thousand Horsemen,-,-,0,0,1,0,-,-,False,-,-,-
Fresh Off the Boat,-,7+,0,1,0,0,-,-,False,tvSeries,Comedy,7.8
Fresh Off the Boat,-,16+,0,1,0,0,-,-,False,tvSeries,Comedy,7.8
Fury of the Fist and the Golden Fleece,-,-,0,0,1,0,-,-,False,movie,"Action,Comedy",3.0
Goth,-,18+,0,0,1,0,-,-,False,movie,"Drama,Romance,Thriller",-
Goth,-,18+,0,0,1,0,-,-,False,movie,"Crime,Drama,Mystery",6.1
Grave Encounters 2,-,18+,0,0,1,0,-,-,False,movie,Horror,5.1
Heaven,-,13+,0,0,1,0,-,-,False,movie,"Crime,Thriller",6.5
Heaven,-,13+,0,0,1,0,-,-,False,movie,"Drama,Music,Musical",-
Heaven,-,13+,0,0,1,0,-,-,False,tvSeries,Crime,-
