Title,Date Added,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
Norm of the North: King Sized Adventure,2019,-,3.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Jandino: Whatever it Takes,2016,-,-,-,-,-,-,-,-,False,-,-,-
Transformers Prime,2018,-,-,-,-,-,-,-,-,False,-,-,-
Transformers: Robots in Disguise,2018,-,-,-,-,-,-,-,-,False,-,-,-
#realityhigh,2017,-,5.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Apaches,2017,18+,6.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Automata,2017,18+,6.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Fabrizio Copano: Solo pienso en mi,2017,-,4.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Fire Chasers,2017,-,6.6,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Good People,2017,18+,5.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Joaquín Reyes: Una y no más,2017,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Kidnapping Mr. Heineken,2017,-,-,-,-,-,-,-,-,False,-,-,-
Krish Trish and Baltiboy,2017,-,-,-,-,-,-,-,-,False,-,-,-
Krish Trish and Baltiboy: Battle of Wits,2017,-,-,-,-,-,-,-,-,False,-,-,-
Krish Trish and Baltiboy: Best Friends Forever,2017,-,-,-,-,-,-,-,-,False,-,-,-
Krish Trish and Baltiboy: Comics of India,2017,-,-,-,-,-,-,-,-,False,-,-,-
Krish Trish and Baltiboy: Oversmartness Never Pays,2017,-,-,-,-,-,-,-,-,False,-,-,-
Krish Trish and Baltiboy: Part II,2017,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Krish Trish and Baltiboy: The Greatest Trick,2017,-,-,-,-,-,-,-,-,False,-,-,-
Love,2017,18+,7.7,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Love,2018,18+,7.7,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Manhattan Romance,2017,16+,5.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Moonwalkers,2017,18+,6.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Rolling Papers,2017,18+,6.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Stonehearst Asylum,2017,13+,6.8,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Runner,2017,18+,4.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
6 Years,2015,-,5.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Castle of Stars,2018,-,-,-,-,-,-,-,-,False,-,-,-
City of Joy,2018,-,7.3,1.0,0.0,1.0,0.0,Netflix,Worldwide,True,-,-,-
First and Last,2018,18+,6.8,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Laddaland,2018,18+,6.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Next Gen,2018,7+,6.6,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Sierra Burgess Is A Loser,2018,-,-,-,-,-,-,-,-,False,-,-,-
The Most Assassinated Woman in the World,2018,18+,5.3,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Cézanne et moi,2017,-,-,-,-,-,-,-,-,False,-,-,-
Archibald's Next Big Thing,2019,7+,7.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Article 15,2019,-,8.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Care of Kancharapalem,2019,-,-,-,-,-,-,-,-,False,-,-,-
Ee Nagaraniki Emaindi,2019,7+,7.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Kill Me If You Dare,2019,-,-,-,-,-,-,-,-,False,-,-,-
The Spy,2019,18+,7.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Hell and Back,2018,-,-,-,-,-,-,-,-,False,-,-,-
PK,2018,13+,8.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Hard Tide,2017,-,4.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Elstree 1976,2016,-,-,-,-,-,-,-,-,False,-,-,-
American Factory: A Conversation with the Obamas,2019,-,-,-,-,-,-,Netflix,Worldwide,True,-,-,-
ATM,2018,-,-,-,-,-,-,-,-,False,-,-,-
Bangkok Traffic (Love) Story,2018,-,-,-,-,-,-,-,-,False,-,-,-
I Fine... Thank You... Love You,2018,-,-,-,-,-,-,-,-,False,-,-,-
One Day,2018,13+,7.0,1.0,0.0,1.0,0.0,-,-,False,-,-,-
One Day,2018,13+,7.0,1.0,0.0,1.0,0.0,-,-,False,-,-,-
Phobia 2,2018,18+,6.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Shutter,2018,18+,7.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Suckseed,2018,-,-,-,-,-,-,-,-,False,-,-,-
Carrie Pilby,2017,-,6.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Marc Maron: Too Real,2017,-,7.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
No Tomorrow,2017,7+,7.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Saawan,2019,-,7.0,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Heretics,2019,-,4.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The World We Make,2019,7+,5.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Watchman,2019,-,6.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Black Panther,2018,13+,7.3,0.0,0.0,0.0,1.0,-,-,False,-,-,-
Man Up,2018,-,-,-,-,-,-,-,-,False,-,-,-
Frequency,2017,7+,7.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Frequency,2017,-,-,0.0,0.0,1.0,0.0,-,-,False,-,-,-
Mo Gilligan: Momentum,2019,-,6.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Adam Ruins Everything,2018,16+,8.0,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Ben 10,2018,7+,2.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Ben 10,2018,7+,7.2,0.0,1.0,0.0,0.0,-,-,False,-,-,-
Big Miracle,2018,7+,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Christiane Amanpour: Sex & Love Around the World,2018,18+,7.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Eighties,2018,-,8.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Nineties,2018,7+,8.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Seventies,2018,7+,8.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
We Bare Bears,2018,7+,7.9,1.0,1.0,0.0,0.0,-,-,False,-,-,-
The Mayor,2017,-,-,-,-,-,-,-,-,False,-,-,-
The Royal House of Windsor,2017,16+,7.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Amanda Knox,2016,18+,6.9,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Lovesick,2018,18+,8.1,1.0,0.0,0.0,0.0,Channel 4,"Worldwide
",True,-,-,-
Lovesick,2018,18+,8.1,1.0,0.0,0.0,0.0,Channel 4,"Worldwide
",True,-,-,-
The Debt Collector,2018,-,5.7,1.0,0.0,1.0,0.0,-,-,False,-,-,-
Act of Vengeance,2018,18+,5.5,0.0,0.0,1.0,0.0,-,-,False,-,-,-
Paradise Lost,2018,-,-,1.0,0.0,1.0,0.0,-,-,False,-,-,-
Gerald's Game,2017,18+,6.6,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Long Shot,2017,16+,7.4,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Mak Cun,2017,-,-,-,-,-,-,-,-,False,-,-,-
Our Souls at Night,2017,16+,6.9,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Out of Thin Air,2017,-,6.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Paul Hollywood's Big Continental Road Trip,2017,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Satu Hari,2017,-,-,-,-,-,-,-,-,False,-,-,-
"Monster High: Boo York, Boo York",2015,-,-,-,-,-,-,-,-,False,-,-,-
Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,2019,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Domino,2019,-,-,-,-,-,-,-,-,False,-,-,-
TUNA GIRL,2019,-,-,-,-,-,-,-,-,False,-,-,-
5CM,2018,-,-,-,-,-,-,-,-,False,-,-,-
Animal World,2018,-,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Hold the Dark,2018,-,5.6,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Lessons from a School Shooting: Notes from Dunblane,2018,-,-,-,-,-,-,Netflix,Worldwide,True,-,-,-
Made in Mexico,2018,-,4.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Single,2018,-,6.8,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The 3rd Eye,2018,-,5.1,1.0,0.0,0.0,0.0,Netflix,Selected territories,True,-,-,-
The Sinking Of Van Der Wijck,2018,-,-,-,-,-,-,-,-,False,-,-,-
Two Catalonias,2018,-,6.5,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Bobby Sands: 66 Days,2017,-,-,-,-,-,-,-,-,False,-,-,-
Bard of Blood,2019,-,7.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Deliha 2,2019,all,4.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
