Title,Release Year,Date added,Genre,Type,PG,Original,Rating,Platform
Norm of the North: King Sized Adventure,2019,2019,"Adventure,Animation,Comedy",Movie,TV-PG,False,3.2,-
Jandino: Whatever it Takes,2016,2016,Comedy,Movie,TV-MA,False,5.4,-
Transformers Prime,2013,2018,"Action,Adventure,Animation",TV Show,TV-Y7-FV,False,7.8,-
Transformers: Robots in Disguise,2016,2018,"Action,Adventure,Animation",TV Show,TV-Y7,False,6.0,-
#realityhigh,2017,2017,-,Movie,TV-14,False,-,-
Apaches,2016,2017,"Drama,Thriller",TV Show,TV-MA,False,6.8,Netflix
Automata,2014,2017,Horror,Movie,R,False,7.0,-
Fabrizio Copano: Solo pienso en mi,2017,2017,Comedy,Movie,TV-MA,False,5.5,-
Fire Chasers,2017,2017,Documentary,TV Show,TV-MA,True,6.6,Netflix
Good People,2014,2017,"Drama,Short",Movie,R,False,7.0,-
Joaquín Reyes: Una y no más,2017,2017,-,Movie,TV-MA,False,-,-
Kidnapping Mr. Heineken,2015,2017,"Action,Crime,Drama",Movie,R,False,6.1,-
Krish Trish and Baltiboy,2009,2017,-,Movie,TV-Y7,False,-,-
Krish Trish and Baltiboy: Battle of Wits,2013,2017,-,Movie,TV-Y7,False,-,-
Krish Trish and Baltiboy: Best Friends Forever,2016,2017,-,Movie,TV-Y,False,-,-
Krish Trish and Baltiboy: Comics of India,2012,2017,-,Movie,TV-Y7,False,-,-
Krish Trish and Baltiboy: Oversmartness Never Pays,2017,2017,-,Movie,TV-Y7,False,-,-
Krish Trish and Baltiboy: Part II,2010,2017,-,Movie,TV-Y7,False,-,-
Krish Trish and Baltiboy: The Greatest Trick,2013,2017,-,Movie,TV-Y7,False,-,-
Love,2015,2017,"Comedy,History",Movie,NR,True,7.6,Netflix
Manhattan Romance,2014,2017,"Comedy,Drama,Romance",Movie,TV-14,False,5.5,-
Moonwalkers,2015,2017,"Action,Comedy",Movie,R,False,6.1,-
Rolling Papers,2015,2017,"Biography,Documentary,News",Movie,TV-MA,False,6.2,-
Stonehearst Asylum,2014,2017,-,Movie,PG-13,False,-,-
The Runner,2015,2017,Crime,Movie,R,False,7.1,-
6 Years,2015,2015,"Drama,Romance",Movie,NR,False,5.6,-
Castle of Stars,2015,2018,-,TV Show,TV-14,False,-,-
City of Joy,2018,2018,"Crime,Documentary,Drama",Movie,TV-MA,True,7.6,-
First and Last,2018,2018,Documentary,TV Show,TV-MA,True,6.7,Netflix
Laddaland,2011,2018,-,Movie,TV-MA,False,-,-
