Title,Year,Genre,Rating
Breaking Bad,2008,"Documentary,Talk-Show",9.5
Game of Thrones,2011,Reality-TV,9.3
Rick and Morty,2013,Comedy,9.2
Dark,2017,Drama,8.8
Stranger Things,2016,Horror,8.8
Avatar: The Last Airbender,2005,"Action,Adventure,Fantasy",9.2
Sherlock,2010,"Documentary,Drama",9.1
Chernobyl,2019,"Drama,History,Thriller",9.4
Friends,1994,"Horror,Short",8.9
The Office,2005,Short,8.9
Better Call Saul,2015,"Crime,Drama,Mystery",8.7
The Wire,2002,"Crime,Drama,Mystery",9.3
Supernatural,2005,Fantasy,8.4
Fargo,2014,Documentary,8.9
Black Mirror,2011,"Adventure,Crime,Horror",8.8
Band of Brothers,2001,Reality-TV,9.4
Attack on Titan,2013,"Comedy,Game-Show,Talk-Show",8.8
House,2004,Documentary,8.7
Money Heist,2017,-,8.4
Peaky Blinders,2013,"Crime,Drama",8.8
Mr. Robot,2015,"Crime,Drama,Thriller",8.5
Vikings,2013,"Adventure,Fantasy,Mystery",8.5
The Sopranos,1999,Crime,9.2
The Simpsons,1989,\N,8.7
The Mandalorian,2019,"News,Short",8.7
Lost,2004,"Action,Adventure,Animation",8.3
Westworld,2016,Comedy,8.7
The Umbrella Academy,2019,Talk-Show,8.0
Narcos,2015,Comedy,8.8
True Detective,2014,Comedy,9.0
Marvel's Daredevil,2015,Comedy,8.6
Brooklyn Nine-Nine,2013,Talk-Show,8.4
The Walking Dead,2010,"Comedy,Drama,Fantasy",8.2
Parks and Recreation,2009,Comedy,8.6
Mindhunter,2017,"Crime,Drama,Thriller",8.6
South Park,1997,News,8.7
Suits,2011,"Animation,Comedy,Fantasy",8.5
Hannibal,2013,Action,8.5
Dexter,2006,Crime,8.6
Community,2009,Drama,8.5
Fringe,2008,Drama,8.4
Modern Family,2009,Documentary,8.4
The Big Bang Theory,2007,Comedy,8.1
Firefly,2002,"Drama,Short",9.0
Mad Men,2007,"Action,Sport",8.6
Fullmetal Alchemist: Brotherhood,2009,-,9.1
Ozark,2017,"Crime,Drama,Thriller",8.4
The Witcher,2019,"Fantasy,Short",8.2
Lucifer,2016,"Comedy,Short",8.2
It's Always Sunny in Philadelphia,2005,Horror,8.8
